joint_rank,run_name,trainer_script,architecture_family,training_recipe,input_mode,encoder_mode,fusion_strategy,fusion_stage,architecture_summary,epochs_requested,final_epoch,early_stopped,batch_size,lr,cls_weight,selection_metric,runtime_seconds,best_epoch,best_joint,best_dice,best_iou,best_cls_acc,best_cls_f1,final_joint,final_dice,final_cls_f1,result_summary,comparison_note
1,siamese_shared_concat_absdiff_bottleneck_tuned_rerun_a_es100_11389530_20260409_002214,change_family_experiments.py,change_family,tuned_change_family_es100_rerun,siamese,shared,concat_absdiff,bottleneck_only,"Shared Siamese encoder with explicit change fusion by concatenating before, after, and absolute-difference features at the bottleneck only",100,38,yes,8,0.0003,2.0,joint,1516,30,0.4336,0.5927,0.5778,0.6495,0.2744,0.4015,0.5338,0.2693,"Slight new overall leader; rerun confirmed the bottleneck concat+absdiff recipe is both strong and reproducible","Edges out the previous best by a small margin and reinforces this family as the safest top-performing choice"
2,siamese_shared_concat_absdiff_bottleneck_tuned_rerun_b_es100_11401761_20260409_120850,change_family_experiments.py,change_family,tuned_change_family_es100_rerun,siamese,shared,concat_absdiff,bottleneck_only,"Shared Siamese encoder with explicit change fusion by concatenating before, after, and absolute-difference features at the bottleneck only",100,39,yes,8,0.0003,2.0,joint,1472,31,0.4333,0.5921,0.5775,0.6377,0.2745,0.4271,0.5726,0.2815,"Second rerun nearly matched the leader and further confirmed that the best bottleneck recipe is highly reproducible","Three independent runs now cluster at the top, so future gains likely need training or data improvements rather than architectural changes"
3,siamese_shared_concat_absdiff_bottleneck_tuned_es100_11388227_20260408_233106,change_family_experiments.py,change_family,tuned_change_family_es100,siamese,shared,concat_absdiff,bottleneck_only,"Shared Siamese encoder with explicit change fusion by concatenating before, after, and absolute-difference features at the bottleneck only",100,40,yes,8,0.0003,2.0,joint,1634,28,0.4329,0.5913,0.5745,0.6506,0.2744,0.4244,0.5642,0.2846,"Original breakout run for the leading architecture; still one of the three strongest results overall","Early stopping worked well here and this run established the architecture that subsequent reruns confirmed"
4,after_only_baseline_tuned_rerun_a_es100_11389531_20260409_002215,change_family_experiments.py,change_family,tuned_change_family_es100_rerun,after_only,shared,n/a (after_only),bottleneck_only,"Post-disaster image only with a single encoder and no explicit before/after fusion; joint segmentation plus tile-level classification head",100,52,yes,8,0.0003,2.0,joint,1830,44,0.4316,0.5910,0.5728,0.6292,0.2721,0.4101,0.5528,0.2675,"Near-tied to the leaders; rerun plus early stopping turned the simple after-only model into a real contender","Nearly matches the best Siamese run with a simpler setup, but the weaker rerun B suggests this recipe is less consistent"
5,after_only_baseline_tuned_11381201_20260408_210113,change_family_experiments.py,change_family,tuned_change_family,after_only,shared,n/a (after_only),bottleneck_only,"Post-disaster image only with a single encoder and no explicit before/after fusion; joint segmentation plus tile-level classification head",50,50,no,8,0.0003,2.0,joint,1819,43,0.4288,0.5733,0.5542,0.6442,0.2842,0.3863,0.5105,0.2621,"Highest classification F1 among the major contenders and still a strong simple-model baseline","Shows the post-disaster image alone is surprisingly competitive, though reruns suggest it is less stable than the best Siamese bottleneck model"
6,siamese_shared_concat_bottleneck_tuned_11381202_20260408_210113,change_family_experiments.py,change_family,tuned_change_family,siamese,shared,concat,bottleneck_only,"Shared Siamese encoder with simple before/after concatenation only at the bottleneck",50,50,no,8,0.0003,2.0,joint,1846,49,0.4276,0.5851,0.5653,0.6602,0.2700,0.4206,0.5647,0.2764,"Most stable of the top pre-early-stopping models and still one of the strongest overall","Very competitive despite being simpler than multiscale variants; a good stability reference"
7,siamese_separate_concat_absdiff_multiscale_tuned_11381203_20260408_210114,change_family_experiments.py,change_family,tuned_change_family,siamese,separate,concat_absdiff,multiscale,"Separate before and after encoders with concat plus absolute-difference fusion at both bottleneck and skip scales",50,50,no,8,0.0003,2.0,joint,1623,25,0.4263,0.5804,0.5593,0.6431,0.2723,0.4068,0.5300,0.2836,"Best separate-encoder result so far; rich explicit change representation helped, but it still trails the best shared bottleneck models","The 100-epoch follow-up underperformed this run, so this branch likely needs recipe changes rather than more training time"
8,siamese_shared_concat_absdiff_multiscale_tuned_es100_11389532_20260409_002919,change_family_experiments.py,change_family,tuned_change_family_es100,siamese,shared,concat_absdiff,multiscale,"Shared Siamese encoder with concat plus absolute-difference fusion at the bottleneck and decoder skip scales",100,29,yes,8,0.0003,2.0,joint,1008,21,0.4262,0.5989,0.5784,0.6367,0.2536,0.4060,0.5447,0.2673,"Highest Dice so far among all runs, but classification lag kept the joint score just outside the top tier","Promising segmentation-heavy direction; likely worth another pass only if classification can be lifted"
9,siamese_shared_concat_multiscale_tuned_es100_11388226_20260408_232444,change_family_experiments.py,change_family,tuned_change_family_es100,siamese,shared,concat,multiscale,"Shared Siamese encoder with concatenation at the bottleneck and skip scales; explicit multiscale change fusion",100,28,yes,8,0.0003,2.0,joint,986,16,0.4244,0.5900,0.5771,0.6377,0.2588,0.3934,0.5153,0.2714,"Longer budget plus early stopping improved the multiscale shared model over its 20-epoch version","Still trails the best bottleneck models, so multiscale fusion is not yet paying off enough"
10,siamese_shared_concat_bottleneck_tuned_cw25_es100_11388223_20260408_232249,change_family_experiments.py,change_family,tuned_change_family_es100,siamese,shared,concat,bottleneck_only,"Shared Siamese encoder with simple bottleneck concatenation and increased classification loss weight",100,37,yes,8,0.0003,2.5,joint,1252,25,0.4243,0.5881,0.5752,0.6141,0.2604,0.4082,0.5569,0.2595,"Close to the leaders but worse than the same architecture with cls_weight=2.0","The heavier classification weighting hurt overall balance instead of improving it"
11,after_only_baseline_tuned_rerun_b_es100_11401764_20260409_120850,change_family_experiments.py,change_family,tuned_change_family_es100_rerun,after_only,shared,n/a (after_only),bottleneck_only,"Post-disaster image only with a single encoder and no explicit before/after fusion; joint segmentation plus tile-level classification head",100,42,yes,8,0.0003,2.0,joint,1545,34,0.4218,0.5807,0.5630,0.6249,0.2629,0.4186,0.5781,0.2590,"A weaker rerun that slid back toward the middle of the pack despite using the same recipe","This variance makes after-only a useful baseline, but not the strongest main line for the next round"
12,after_only_baseline_tuned_cw15_es100_11388210_20260408_232206,change_family_experiments.py,change_family,tuned_change_family_es100,after_only,shared,n/a (after_only),bottleneck_only,"Post-disaster image only with reduced classification weight and early stopping",100,47,yes,8,0.0003,1.5,joint,1717,35,0.4217,0.5864,0.5694,0.6088,0.2570,0.4126,0.5679,0.2573,"Improved segmentation relative to the original after-only winner but gave up too much classification strength","Lowering cls_weight moved the model away from the sweet spot"
13,siamese_separate_concat_absdiff_bottleneck_tuned_es100_11389533_20260409_003210,change_family_experiments.py,change_family,tuned_change_family_es100,siamese,separate,concat_absdiff,bottleneck_only,"Separate before and after encoders with concat plus absolute-difference fusion at the bottleneck only",100,39,yes,8,0.0003,2.0,joint,1329,31,0.4217,0.5902,0.5722,0.6066,0.2531,0.4106,0.5471,0.2741,"Reasonable bottleneck-only separate-encoder result, but it did not beat the better shared-encoder or separate-multiscale variants","Separate encoders still have upside, though multiscale fusion looks more promising than bottleneck-only here"
14,siamese_shared_concat_multiscale_tuned_11324148_20260408_022353,change_family_experiments.py,change_family,tuned_change_family,siamese,shared,concat,multiscale,"Shared Siamese encoder with concatenation at the bottleneck and decoder skip scales",20,20,no,8,0.0003,2.0,joint,650,15,0.4189,0.5898,0.5770,0.5949,0.2480,0.3910,0.5122,0.2699,"Original tuned multiscale winner before the latest batch of experiments","Useful historical checkpoint, but the 100-epoch early-stopped follow-up superseded it"
15,after_only_baseline_tuned_cw25_es100_11388222_20260408_232248,change_family_experiments.py,change_family,tuned_change_family_es100,after_only,shared,n/a (after_only),bottleneck_only,"Post-disaster image only with increased classification weight and early stopping",100,53,yes,8,0.0003,2.5,joint,1931,41,0.4180,0.5783,0.5612,0.6227,0.2578,0.4049,0.5551,0.2548,"Another competitive after-only run, but still below the original cls_weight=2.0 setting","Increasing cls_weight above 2.0 did not improve the after-only recipe"
16,baseline_xview2_v2_11386952_20260408_225121,siamese_baseline_v2.py,baseline_siamese_unet,baseline_v2_tuned_50,siamese,shared,concat,multiscale,"Original shared-encoder Siamese U-Net baseline with before and after features concatenated at the bottleneck and skip levels",50,50,no,4,0.0003,1.0,joint,2608,43,0.4147,0.5793,0.5514,0.6838,0.2500,0.3824,0.5237,0.2411,"Best baseline-script result so far; longer training helped materially","Still behind the best change-family models, but it narrowed the gap"
17,siamese_separate_concat_absdiff_multiscale_tuned_es100_11401766_20260409_120850,change_family_experiments.py,change_family,tuned_change_family_es100,siamese,separate,concat_absdiff,multiscale,"Separate before and after encoders with concat plus absolute-difference fusion at both bottleneck and skip scales",100,39,yes,8,0.0003,2.0,joint,1436,31,0.4106,0.5727,0.5513,0.6195,0.2484,0.4079,0.5423,0.2734,"Longer training did not help the separate-encoder multiscale branch; both segmentation and classification slipped versus the earlier 50-epoch run","This branch looks inferior to the shared bottleneck recipe and should be deprioritized for now"
18,baseline_xview2_v2_11321747_20260408_023414,siamese_baseline_v2.py,baseline_siamese_unet,baseline_v2_tuned_20,siamese,shared,concat,multiscale,"Original shared-encoder Siamese U-Net baseline with before and after features concatenated at the bottleneck and skip levels",20,20,no,4,0.0003,1.0,joint,937,20,0.4042,0.5835,0.5654,0.6388,0.2249,0.4042,0.5835,0.2249,"Strong baseline reference before the 50-epoch rerun","The 50-epoch rerun improved on this, confirming the baseline was undertrained at 20 epochs"
19,siamese_shared_absdiff_bottleneck_tuned_es100_11389534_20260409_003735,change_family_experiments.py,change_family,tuned_change_family_es100,siamese,shared,absdiff,bottleneck_only,"Shared Siamese encoder using only absolute-difference features at the bottleneck for change fusion",100,11,yes,8,0.0003,2.0,joint,413,3,0.3886,0.5815,0.5815,0.4051,0.1956,0.3769,0.5692,0.1845,"Clear underperformer; absolute difference alone removed too much useful context","This result argues against pure absdiff fusion and in favor of keeping raw before/after features"
20,siamese_shared_concat_bottleneck_only_11321642_20260407_210751,change_family_experiments.py,change_family,short_change_family,siamese,shared,concat,bottleneck_only,"Early proof-of-concept version of the configurable change model with simple bottleneck concatenation",5,5,no,4,0.0010,1.0,joint,248,2,0.3567,0.5815,0.5815,0.3826,0.1320,0.3538,0.5791,0.1286,"Confirmed the configurable change-family pipeline worked end to end","Not directly comparable to later tuned runs because the budget and recipe were much weaker"
21,baseline_xview2_11320199_20260407_192602,siamese_baseline.py,baseline_siamese_unet,short_baseline,siamese,shared,concat,multiscale,"Initial shared-encoder Siamese U-Net baseline using Dice-based checkpoint selection",5,5,no,4,0.0010,1.0,dice,176,4,0.3552,0.5656,0.5589,0.4459,0.1449,0.3345,0.5539,0.1151,"Second short sanity-check baseline with slightly better classification than the first","Historical reference only; later tuned baselines and change-family runs overtook it"
22,baseline_xview2_11319760_20260407_180713,siamese_baseline.py,baseline_siamese_unet,short_baseline,siamese,shared,concat,multiscale,"Initial shared-encoder Siamese U-Net baseline using Dice-based checkpoint selection",5,5,no,4,0.0010,1.0,dice,174,5,0.3405,0.5549,0.5431,0.3226,0.1260,0.3405,0.5549,0.1260,"First successful end-to-end baseline sanity run","Important for project history, but it is no longer competitive"
